long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg,roughness_rms_m,nasa_score,rf_score,sim_score,nasa_pred,rf_pred,sim_pred,consensus_count,consensus_category
326.36978,-4.9998,-656.53,3394500.25,0.3632017810673811,0.8632780789018926,0.6001656486620697,0.05,0.7688166999765126,1,0,1,2,majority_accept
326.36912,-4.9947,-652.21,3394504.91,0.2976548945934751,1.2196006748340489,0.5987458430780702,0.05,0.7674668967170292,1,0,1,2,majority_accept
326.36845,-4.9896,-652.15,3394505.31,0.2287566957366518,1.6318476606159211,0.5986136758267951,0.05,0.7670392167508202,1,0,1,2,majority_accept
326.36779,-4.9845,-651.54,3394506.26,0.2001482633412146,1.983933789695829,0.598279265735899,0.05,0.7657797553213929,1,0,1,2,majority_accept
326.36713,-4.9794,-652.54,3394505.6,0.1757751775018509,2.3096946458917547,0.5984062994044095,0.055,0.7646792183859911,1,0,1,2,majority_accept
326.36646,-4.9744,-653.96,3394504.52,0.3771707932915046,2.668154580057385,0.5985551288765917,0.055,0.7641606883125237,1,0,1,2,majority_accept
326.3658,-4.9693,-655.49,3394503.34,0.6590056730035514,2.35559369721644,0.5992776579169264,0.05,0.7659484009612152,1,0,1,2,majority_accept
326.36513,-4.9642,-660.66,3394498.51,0.8439008660889231,1.6459593266521753,0.6012413521828016,0.05,0.768551445839715,1,0,1,2,majority_accept
326.36447,-4.9591,-667.62,3394491.89,0.9207829682882462,1.3231451357609414,0.6035124066818299,0.05,0.7705364713797921,1,0,1,2,majority_accept
326.3638,-4.954,-673.23,3394486.62,0.8942701727969482,1.6533822231187727,0.6051766934449871,0.05,0.7732739979663298,1,0,1,2,majority_accept
326.36314,-4.9489,-676.18,3394484.01,0.7516394530739463,2.0469470086743504,0.6059458863471568,0.05,0.7754603422913567,1,0,1,2,majority_accept
326.36248,-4.9439,-678.77,3394481.76,0.5490923113805369,1.6388248449881324,0.6069482692304188,0.05,0.7790216138245896,1,0,1,2,majority_accept
326.36181,-4.9388,-680.91,3394479.97,0.3993906866420426,1.167379740361621,0.6077587357024534,0.05,0.7801648580582855,1,0,1,2,majority_accept
326.36115,-4.9337,-682.08,3394479.14,0.3153496088374915,0.9783259232530592,0.6081670292267325,0.05,0.78013677916458,1,0,1,2,majority_accept
326.36048,-4.9286,-682.66,3394478.9,0.3621434967704001,1.4871437839928918,0.6082276718529692,0.045,0.7810201797605735,1,0,1,2,majority_accept
326.35982,-4.9235,-683.41,3394478.49,0.3690213184385658,1.742509261360646,0.6083755663654075,0.05,0.7810635465643054,1,0,1,2,majority_accept
326.35916,-4.9184,-682.19,3394480.05,0.3236526563568386,2.257632390241246,0.6077331414840257,0.05,0.7787274265009128,1,0,1,2,majority_accept
326.35849,-4.9133,-680.97,3394481.61,0.2946523481482356,2.955694456442948,0.606698979721081,0.055,0.7734405869497272,1,0,1,2,majority_accept
326.35783,-4.9083,-681.41,3394481.51,0.2316351737255035,3.5429922662749997,0.6058071389072981,0.055,0.7672909955462046,1,0,1,2,majority_accept
326.35716,-4.9032,-681.36,3394481.9,0.1332273439173437,3.955018529279835,0.6046183339421292,0.06,0.7611285359965264,1,0,1,2,majority_accept
326.3565,-4.8981,-680.12,3394483.47,0.2651836087964102,4.46921346127658,0.6019149975484486,0.055,0.7537990905082113,1,0,1,2,majority_accept
326.35583,-4.893,-679.0,3394484.93,0.3678874884659704,4.989654124680016,0.5977177101418605,0.055,0.7444530370612037,1,0,1,2,majority_accept
326.35517,-4.8879,-677.84,3394486.42,0.5546447214397472,5.893176525691432,0.584220221228198,0.055,0.7246531098841702,1,0,1,2,majority_accept
326.3545,-4.8828,-674.78,3394489.81,0.8647878354294514,6.200541657081182,0.5758773899295693,0.055,0.7136196820752227,1,0,1,2,majority_accept
326.35384,-4.8777,-680.32,3394484.61,1.0971051323686385,6.433722886696869,0.57050094731601,0.055,0.7064363169333466,1,0,1,2,majority_accept
326.35318,-4.8726,-690.67,3394474.59,1.0433136134456746,6.846295340878157,0.5576240876859976,0.055,0.7008915510601331,1,0,1,2,majority_accept
326.35251,-4.8675,-688.88,3394476.72,0.7338509430616879,9.914152363277635,0.30806593481880373,0.06,0.6020584486797574,0,0,1,1,minority_accept
326.35185,-4.8625,-681.22,3394484.71,0.4482295475916019,9.742728071480702,0.3223431006473678,0.06,0.6051591078161901,0,0,1,1,minority_accept
326.35118,-4.8574,-684.22,3394482.04,0.5319898883609007,6.121676971837235,0.5808108105046705,0.055,0.7219668523452449,1,0,1,2,majority_accept
326.35052,-4.8523,-689.3,3394477.3,0.4554704293898731,5.601766263537936,0.59316153547183,0.055,0.7363409115479059,1,0,1,2,majority_accept
326.34985,-4.8472,-690.72,3394476.21,0.4288132530723346,4.785011813203128,0.603092442277524,0.055,0.7534330322568067,1,0,1,2,majority_accept
326.34919,-4.8421,-688.83,3394478.43,0.3400971745501435,3.340472514933685,0.6085534650063529,0.055,0.7733521011588774,1,0,1,2,majority_accept
326.34852,-4.837,-689.08,3394478.52,0.3390700267322345,1.81767010247879,0.6101274491730998,0.05,0.783369650346695,1,0,1,2,majority_accept
326.34786,-4.8319,-690.19,3394477.74,0.3940748299792414,1.580209216085801,0.6105627621239872,0.045,0.7843366369984988,1,0,1,2,majority_accept
326.3472,-4.8268,-694.04,3394474.23,0.4401780583025281,1.462948142094822,0.6118074344854748,0.05,0.7860395110239587,1,0,1,2,majority_accept
326.34653,-4.8217,-692.39,3394476.21,0.4135555095042945,1.7098818981038753,0.6112074416895185,0.05,0.7851168979548084,1,0,1,2,majority_accept
326.34587,-4.8166,-696.79,3394472.14,0.3571465247200388,2.083274512419587,0.6124215703848425,0.05,0.785864381766915,1,0,1,2,majority_accept
326.3452,-4.8115,-699.01,3394470.26,0.3629087365440845,2.320882007518046,0.612971797723974,0.05,0.7857538656528377,1,0,1,2,majority_accept
326.34454,-4.8064,-696.7,3394472.9,0.4226782542127928,2.4515194377483964,0.6121466644956159,0.05,0.7841660524712581,1,0,1,2,majority_accept
326.34387,-4.8013,-695.57,3394474.36,0.4772146427696294,2.8709581779385465,0.6113776578945946,0.055,0.7807639571735788,1,0,1,2,majority_accept
326.34321,-4.7962,-698.75,3394471.51,0.5583842569223267,2.8840631952555293,0.6123557865998124,0.055,0.7817689994013587,1,0,1,2,majority_accept
326.34255,-4.7911,-703.25,3394467.33,0.6134062852751463,2.4648379747893525,0.6141837384575031,0.05,0.7862866514799247,1,0,1,2,majority_accept
326.34188,-4.786,-705.52,3394465.39,0.6056086633423171,2.7996710869130426,0.6145774753623038,0.055,0.7850199608548422,1,0,1,2,majority_accept
326.34122,-4.7809,-705.02,3394466.21,0.7571406498310402,11.121618526700258,0.21434237415324556,0.06,0.562254454461115,0,0,1,1,minority_accept
326.34055,-4.7758,-703.86,3394467.7,2.722681892361522,33.38312153540438,0.00012969652870590688,0.055,0.12934683375018102,0,0,0,0,all_reject
326.33989,-4.7707,-704.73,3394467.15,7.904731092248558,53.59210536431656,2.2266242383809564e-08,0.045,-0.418612965572291,0,0,0,0,all_reject
326.33922,-4.7656,-701.07,3394471.14,11.981251604277878,58.05352483110225,3.319990378961762e-10,0.045,-0.5552539209852959,0,0,0,0,all_reject
326.33856,-4.7605,-705.72,3394466.81,15.05358471732468,54.91258802213216,1.2227442373506938e-10,0.045,-0.5552539209852959,0,0,0,0,all_reject
326.3379,-4.7554,-787.06,3394385.8,15.419149422916169,59.19029778993939,2.3984470281456862e-11,0.045,-0.5552539209852959,0,0,0,0,all_reject
326.33723,-4.7503,-792.58,3394380.6,15.60053661368337,61.02578556408206,1.1557764393628773e-11,0.045,-0.5552539209852959,0,0,0,0,all_reject
326.33657,-4.7452,-783.96,3394389.55,15.900847820794429,47.5101283659824,8.524730039900718e-10,0.045,-0.5552539209852959,0,0,0,0,all_reject
326.3359,-4.7401,-786.51,3394387.32,14.433650310971313,35.3333763492809,1.3145806124152435e-07,0.045,-0.16513864038331,0,0,0,0,all_reject
326.33524,-4.735,-811.93,3394362.23,13.912596836133895,37.22014151212961,1.0043684974363412e-07,0.045,-0.13911786134185972,0,0,0,0,all_reject
326.33457,-4.7299,-855.36,3394319.12,13.57042752702745,33.93168910410211,3.8551097611024627e-07,0.045,-0.015536143108547559,0,0,0,0,all_reject
326.33391,-4.7248,-853.08,3394321.73,14.441066010930662,26.96672179018736,2.19672256677633e-06,0.045,-0.043054924714299676,0,0,0,0,all_reject
326.33325,-4.7197,-845.82,3394329.31,14.007730395323412,32.475699057815106,4.6584099060706453e-07,0.045,-0.038929594054873,0,0,0,0,all_reject
326.33258,-4.7146,-852.01,3394323.45,16.411081062180198,17.819875115125505,1.2454070518422073e-05,0.045,-0.43473254550889,0,0,0,0,all_reject
326.33192,-4.7095,-831.79,3394343.99,15.673753158503237,17.874624476429094,1.980080099452676e-05,0.045,-0.31856999535095376,0,0,0,0,all_reject
326.33125,-4.7044,-820.98,3394355.13,10.44991927149699,41.02239871570786,2.8569563817880667e-07,0.045,-0.003707354324019028,0,0,0,0,all_reject
326.33059,-4.6993,-820.78,3394355.64,10.647158891710564,48.071837194462425,2.389159616596455e-08,0.045,-0.17937904370400048,0,0,0,0,all_reject
326.32993,-4.6942,-825.99,3394350.75,11.143531207687268,44.98184301637639,4.818845606533985e-08,0.045,-0.12003343611820942,0,0,0,0,all_reject
326.32926,-4.6891,-889.61,3394287.44,11.565722035504534,42.19430505576677,9.49028751226421e-08,0.045,-0.050103888557423225,0,0,0,0,all_reject
326.3286,-4.684,-940.85,3394236.52,11.03535685852228,48.91593165705331,1.472036377889801e-08,0.045,-0.16674968996824335,0,0,0,0,all_reject
326.32794,-4.6789,-1013.84,3394163.84,9.083533865428072,60.62341216475693,1.1272449757801778e-09,0.045,-0.5552539209852959,0,0,0,0,all_reject
326.32727,-4.6739,-1051.33,3394126.67,6.144003011719925,51.24693458763049,1.7921690272718453e-07,0.045,-0.20130208552355527,0,0,0,0,all_reject
326.32661,-4.6688,-957.47,3394220.85,4.356454336853938,37.96231290915199,2.94413805523605e-05,0.045,0.15023108771457452,0,0,0,0,all_reject
326.32594,-4.6637,-956.22,3394222.41,3.4368551839722934,29.39654042937869,0.0005467828894572327,0.045,0.3110041214395222,0,0,0,0,all_reject
326.32528,-4.6586,-1036.03,3394142.92,3.0957003258769245,28.6841033761521,0.0007226876774835043,0.055,0.33052241784776226,0,0,0,0,all_reject
326.32461,-4.6535,-1014.96,3394164.3,3.8952271840937898,26.797414123529613,0.0013071048127216614,0.045,0.3452264081904119,0,0,0,0,all_reject
326.32395,-4.6484,-989.86,3394189.72,5.250491029755113,21.131408533792712,0.006394976151668006,0.045,0.28590085693431716,0,0,0,0,all_reject
326.32328,-4.6433,-966.86,3394213.03,6.487834634389706,10.478531235114025,0.1084184472767948,0.045,0.30215046382152005,0,0,0,0,all_reject
326.32262,-4.6382,-958.21,3394222.0,6.8096269649488645,10.726250967057585,0.08133301851323499,0.045,0.27243723841363376,0,0,0,0,all_reject
326.32195,-4.6331,-937.48,3394243.04,6.392571352020855,15.385683816464702,0.022736708219085734,0.045,0.21969023829583162,0,0,0,0,all_reject
326.32129,-4.628,-891.35,3394289.49,5.993019677129931,16.37851991137769,0.020401363799447753,0.045,0.2142549531762012,0,0,0,0,all_reject
326.32062,-4.6229,-875.12,3394306.04,4.914891945512441,18.019748375419027,0.019337376959401492,0.045,0.25607624562793196,0,0,0,0,all_reject
326.31996,-4.6179,-895.66,3394285.81,3.4414991573631126,16.923929345456678,0.03399645359822671,0.045,0.3584737470437499,0,0,0,0,all_reject
326.31929,-4.6128,-872.72,3394309.07,3.4634999472301216,16.40586323498204,0.03994984292451134,0.045,0.3611804412318361,0,0,0,0,all_reject
326.31863,-4.6077,-872.68,3394309.42,2.1122031870527027,17.059193554383288,0.03258700168623612,0.06,0.39744842900446026,0,0,0,0,all_reject
326.31796,-4.6026,-868.91,3394313.51,3.1641574182429064,18.697516587720905,0.018703908980585274,0.055,0.32974096931476327,0,0,0,0,all_reject
326.31729,-4.5975,-800.11,3394382.62,2.672561028265876,23.83455965963452,0.0032828491805139367,0.055,0.27431654833593117,0,0,0,0,all_reject
326.31663,-4.5924,-828.97,3394354.07,2.114137276629501,24.828689590575937,0.0023950637605872458,0.06,0.2697797831400168,0,0,0,0,all_reject
326.31596,-4.5873,-794.79,3394388.56,1.4896029326112303,26.20465063058264,0.001490250411689899,0.055,0.2244570992931615,0,0,0,0,all_reject
326.31463,-4.5771,-839.96,3394344.0,0.3151443522470516,31.26683517528448,0.000281851422183907,0.055,0.08065622995564148,0,0,0,0,all_reject
326.31331,-4.567,-887.72,3394296.85,2.158158017982703,45.314897118440456,2.6645704319051414e-06,0.06,-0.3225534247368123,0,0,0,0,all_reject
326.31264,-4.5619,-857.65,3394327.22,4.253015129959468,52.06830116214479,2.588442708783683e-07,0.045,-0.47694047895286407,0,0,0,0,all_reject
326.31197,-4.5568,-783.31,3394401.87,5.986896324953951,50.84053735411329,1.9951084674563502e-07,0.045,-0.3171556247985278,0,0,0,0,all_reject
326.31131,-4.5517,-671.16,3394514.33,5.053241133699661,52.656481706528815,1.6172041365651135e-07,0.045,-0.5288133914750968,0,0,0,0,all_reject
326.31064,-4.5466,-662.6,3394523.19,4.9250206967481045,50.626161865239325,3.304537734874298e-07,0.045,-0.45635544412847606,0,0,0,0,all_reject
326.30998,-4.5415,-671.52,3394514.58,2.387183804560264,48.43827611216795,8.452269655250232e-07,0.055,-0.5552539209852959,0,0,0,0,all_reject
326.30931,-4.5364,-685.83,3394500.58,0.7004864560918834,33.979194526717066,0.00010570721127955258,0.055,-0.025703049885966365,0,0,0,0,all_reject
326.30865,-4.5313,-698.58,3394488.13,1.927048564681344,29.83928572669462,0.00042265098089412135,0.055,0.16083003780281505,0,0,0,0,all_reject
326.30798,-4.5262,-730.42,3394456.6,1.943553075861596,25.45946556168917,0.001849490339010749,0.055,0.22383285822831497,0,0,0,0,all_reject
326.30665,-4.5161,-770.68,3394416.95,3.9180006564426497,15.60489300330838,0.04862925302195593,0.045,0.3152800683955585,0,0,0,0,all_reject
326.30599,-4.511,-758.64,3394429.29,4.1133326538749575,20.565917024648385,0.009104003458979307,0.045,0.24437739735874245,0,0,0,0,all_reject
326.30532,-4.5059,-778.75,3394409.49,4.917271840827479,22.716884478884182,0.0038549007433896,0.045,0.24142925797426124,0,0,0,0,all_reject
326.30466,-4.5008,-835.94,3394352.61,4.360859292150917,23.35867951230199,0.0036178740689661363,0.045,0.2785555429712173,0,0,0,0,all_reject
326.30335,-4.4906,-862.78,3394326.37,2.177034002981365,29.001977631686444,0.0006054627317487281,0.06,0.24745389387950031,0,0,0,0,all_reject
326.30268,-4.4855,-819.99,3394369.45,0.7450773716908887,24.90116998395196,0.0023300757170534193,0.055,0.21120209611334978,0,0,0,0,all_reject
326.30201,-4.4804,-847.62,3394342.12,2.348898494853686,19.05151786071087,0.016566918547379208,0.055,0.3380867236785336,0,0,0,0,all_reject
326.30134,-4.4753,-799.9,3394390.13,2.353859320331133,19.539673587831107,0.013759355362126396,0.055,0.31256748938887935,0,0,0,0,all_reject
326.30067,-4.4703,-775.1,3394415.23,2.566657078632542,21.962136042900266,0.006056808934057772,0.055,0.2736351602945327,0,0,0,0,all_reject
326.29999,-4.4652,-758.4,3394432.23,3.133817748497137,23.34686874597861,0.003765930857672543,0.055,0.26207038077001377,0,0,0,0,all_reject
326.29933,-4.4601,-808.7,3394382.22,2.259834019102439,26.419113411424405,0.0013953435725106594,0.055,0.2567013273167806,0,0,0,0,all_reject
326.29866,-4.455,-813.82,3394377.4,0.8017726561996078,31.83320418854498,0.000230439970822132,0.055,0.09634897200644599,0,0,0,0,all_reject
326.29798,-4.4499,-780.0,3394411.51,1.4392441111062446,27.189427653336192,0.0010655135300878698,0.055,0.20621395318642777,0,0,0,0,all_reject
326.29732,-4.4448,-840.93,3394350.88,1.640358293139944,18.7027576132312,0.018573421633836833,0.055,0.35073057795178314,0,0,0,0,all_reject
326.29664,-4.4398,-803.48,3394388.62,1.2152386588123745,19.074092821340404,0.016121511067823068,0.055,0.3270420889660435,0,0,0,0,all_reject
326.29597,-4.4347,-802.15,3394390.25,1.310115514896526,16.67729365758115,0.035814497125261274,0.055,0.39513318457792984,0,0,0,0,all_reject
326.2953,-4.4296,-802.1,3394390.59,2.341989438224277,9.330508114725042,0.38287324728539596,0.055,0.6218797938128134,0,0,1,1,minority_accept
326.29463,-4.4245,-802.36,3394390.63,1.8282496952604703,2.040956760568943,0.645293747787773,0.045,0.7958073134388894,1,0,1,2,majority_accept
326.29396,-4.4194,-801.18,3394392.11,1.6102732928312913,1.8999876905040036,0.6451293076174192,0.05,0.8048327877153485,1,0,1,2,majority_accept
326.29329,-4.4143,-801.85,3394391.73,1.3687678754577213,2.197124052960899,0.6452669400897408,0.05,0.8123793247364534,1,0,1,2,majority_accept
326.29262,-4.4093,-800.24,3394393.64,1.101872501681372,2.4230991330059206,0.6446594791275343,0.05,0.8176706518295812,1,0,1,2,majority_accept
326.29195,-4.4042,-800.48,3394393.69,0.9585206651977264,2.1542099430163963,0.6449480454389485,0.05,0.8218081302786286,1,0,1,2,majority_accept
326.29128,-4.3991,-797.68,3394396.79,0.7767867490294876,1.8375332318838455,0.6442564207121784,0.05,0.8243930837699265,1,0,1,2,majority_accept
326.29061,-4.394,-798.03,3394396.72,0.6345801640372376,1.6209425204154937,0.6444658400500481,0.05,0.8261803132226264,1,0,1,2,majority_accept
326.28927,-4.3838,-798.25,3394397.08,0.6499392103673644,1.6592911579019467,0.6445197053005232,0.055,0.8261187216497212,1,0,1,2,majority_accept
326.2886,-4.3788,-795.16,3394400.45,1.1234238158765724,4.548433946168947,0.6372072778638685,0.055,0.791853460050093,1,0,1,2,majority_accept
326.28792,-4.3737,-793.47,3394402.43,1.2914033400494498,5.237961989458046,0.6303006524738239,0.055,0.7746338752434118,1,0,1,2,majority_accept
