long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg,roughness_rms_m
234.06508,68.135,-4149.15,3376286.37,0.0779092045007797,1.2132219361064402
234.06282,68.13,-4148.17,3376288.47,0.0677711209464715,1.3044427928106592
234.06055,68.125,-4146.83,3376290.92,0.1455891564496933,1.7105778309575637
234.05829,68.12,-4148.43,3376290.44,0.2898505379804398,2.0874917862635938
234.05602,68.1151,-4150.74,3376289.25,0.4500490294262634,1.913317327689264
234.05376,68.1101,-4155.17,3376285.94,0.5504854003682622,1.4539821951766874
234.05149,68.1051,-4159.66,3376282.57,0.5716840622404733,1.2437830653825477
234.04913,68.1001,-4163.24,3376280.11,0.5111161565780441,1.4486679405599756
234.04687,68.0952,-4164.91,3376279.56,0.4253368109054777,1.4804868876996091
234.0446,68.0902,-4166.28,3376279.31,0.3088645543439938,1.5283264971473207
234.04234,68.0852,-4167.2,3376279.51,0.2221137155937371,1.334391087014663
234.04007,68.0802,-4167.38,3376280.46,0.1759285427026473,1.13843180158937
234.03781,68.0753,-4167.7,3376281.26,0.1433984696549524,1.1028280023336523
234.03554,68.0703,-4168.65,3376281.43,0.175811967466458,1.32115236860668
234.03328,68.0653,-4168.15,3376283.05,0.2938758452659519,1.6750901787173855
234.03101,68.0603,-4168.09,3376284.24,0.4500260404687213,1.9542481482319796
234.02875,68.0553,-4165.37,3376288.08,0.6411645486165254,2.116651516813636
234.02648,68.0504,-4162.8,3376291.77,0.8446157950832128,2.2540592585812336
234.02422,68.0454,-4157.73,3376297.96,1.0246901803149011,2.419114765282392
234.02195,68.0404,-4151.63,3376305.19,1.164441862004681,2.619100352123139
234.01969,68.0354,-4146.75,3376311.19,1.2683673760417125,2.5389474758420256
234.01742,68.0305,-4142.35,3376316.71,1.294895041591024,2.487047527038149
234.01516,68.0255,-4139.1,3376321.08,1.2605677010680914,2.2800491891458363
234.01289,68.0205,-4134.82,3376326.49,1.2849191843233598,1.7658968008177234
234.01063,68.0155,-4130.12,3376332.31,1.248095642575059,1.7421407609105966
234.00836,68.0106,-4126.87,3376336.68,1.1395002591692307,2.3346666927065924
234.0061,68.0056,-4124.8,3376339.87,0.9918593110718557,2.638916159573097
234.00375,68.0006,-4122.45,3376343.34,0.9364836874668512,2.468588000661556
234.00152,67.9956,-4123.49,3376343.42,0.8216373890251724,2.022019787295175
233.99929,67.9906,-4124.06,3376343.98,0.6759695000477617,1.681245857401333
233.99706,67.9857,-4124.71,3376344.46,0.6132087458061362,2.017397321309258
233.99482,67.9807,-4122.87,3376347.42,0.6390890384120702,2.2994068834210224
233.99259,67.9757,-4121.95,3376349.47,0.7562113364373049,2.636806953079114
233.99036,67.9707,-4119.83,3376352.72,0.9221715950095948,2.8700429230553115
233.98812,67.9658,-4115.55,3376358.12,1.15282636239373,3.2077424134811103
233.98589,67.9608,-4110.42,3376364.38,1.388195707221129,3.178377195606744
233.98366,67.9558,-4102.99,3376372.94,1.6676006632125682,3.9339934228103752
233.98143,67.9508,-4094.63,3376382.42,2.008331907927382,5.19545282578796
233.9792,67.9459,-4085.15,3376393.03,2.4467608263994656,7.478503133343524
233.97697,67.9409,-4073.58,3376405.73,3.005391452836536,9.57745208304769
233.97473,67.9359,-4059.33,3376421.1,3.257384432714033,11.355958615702344
233.9725,67.9309,-4043.97,3376437.59,3.3514911811469155,11.93922676673166
233.97027,67.926,-4028.84,3376453.85,3.467305996460013,12.163343521242108
233.96804,67.921,-4015.03,3376468.78,2.996361636732163,13.714596709789236
233.96581,67.916,-4007.6,3376477.34,2.4652492891587205,13.410807877918328
233.96358,67.911,-4006.43,3376479.64,2.201012550508979,11.29352405126586
233.96134,67.9061,-4008.77,3376478.42,1.9813158570211005,9.447091908802932
233.95699,67.8961,-4017.6,3376471.84,1.2504960012210191,4.851903304343824
233.95478,67.8912,-4018.97,3376471.6,0.9837621800415662,3.2008343539071307
233.95258,67.8862,-4019.42,3376472.28,0.8989240668729951,2.352594634022333
233.95038,67.8812,-4018.14,3376474.69,0.9307650765662796,2.43652393126601
233.94817,67.8762,-4016.03,3376477.93,1.0466571015434123,2.420416993622466
233.94597,67.8713,-4013.56,3376481.53,1.1779570776191008,2.1651543288994244
233.94377,67.8663,-4010.28,3376485.94,1.2988124163912411,2.1063091648112264
233.94156,67.8613,-4005.06,3376492.29,1.4240820252026074,2.20182856284213
233.93936,67.8563,-3999.28,3376499.2,1.3717601943264714,2.743895707572444
233.93496,67.8464,-3983.5,3376517.23,0.7879496548480226,4.920661555888716
233.93275,67.8414,-3978.86,3376523.0,0.4608229840138279,5.245530055787159
233.93055,67.8364,-3977.51,3376525.48,0.2147893349325402,4.474019363916677
233.92835,67.8315,-3978.5,3376525.62,0.383048274083198,3.6603241152646446
233.92614,67.8265,-3980.91,3376524.34,0.632502828977124,3.212791816430333
233.92394,67.8215,-3983.62,3376522.76,0.8468840305760239,2.9267325088069063
233.92173,67.8166,-3989.02,3376518.49,0.9735361959554276,2.6896045685728573
233.91953,67.8116,-3996.02,3376512.62,1.0850039066321533,2.2395109233360517
