long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg,roughness_rms_m
354.68334,-2.4243,-1475.98,3394051.05,1.4199776873214378,1.225233745514073
354.68267,-2.4192,-1470.49,3394056.66,1.1661211725893947,2.7147301680322147
354.682,-2.4141,-1463.89,3394063.38,1.0991110006678653,2.937807753399144
354.68133,-2.4091,-1462.56,3394064.82,1.129660821907376,3.8981997702284974
354.68066,-2.404,-1466.0,3394061.5,1.0055239833325125,6.202382653481009
354.68,-2.3989,-1456.31,3394071.31,0.300179911054408,20.23444799516812
354.67933,-2.3938,-1449.71,3394078.03,1.0186536772353814,27.106785979102188
354.67866,-2.3887,-1477.54,3394050.31,2.8229508909255543,32.09284994407257
354.67799,-2.3837,-1515.19,3394012.78,4.943894615516288,32.220399540021404
354.67732,-2.3786,-1548.67,3393979.42,6.796295499355339,26.78576763691627
354.67665,-2.3735,-1581.77,3393946.44,8.81254139979362,18.8020612617392
354.67598,-2.3684,-1621.26,3393907.07,10.796680583190808,17.227377094094255
354.67531,-2.3633,-1642.32,3393886.12,8.815850873441965,17.296780230236276
354.67465,-2.3583,-1651.86,3393876.7,8.73191641204793,13.28160758459891
354.67398,-2.3532,-1660.77,3393867.91,7.9314189228967615,7.486359836372814
354.67331,-2.3481,-1661.03,3393867.77,7.7595224986099,5.7237589573261225
354.67264,-2.343,-1665.59,3393863.33,7.597015420548672,6.387552216818601
354.67197,-2.338,-1674.22,3393854.81,7.213378042311625,6.301764031319896
354.6713,-2.3329,-1675.67,3393853.48,6.789805337578952,6.944502557203129
354.67063,-2.3278,-1680.69,3393848.58,6.316523304268706,7.514238960453594
354.66994,-2.3227,-1684.91,3393844.47,5.772105960192048,7.791237823372182
354.66928,-2.3177,-1686.51,3393842.98,5.153407519213499,7.788228323745175
354.66861,-2.3126,-1690.03,3393839.57,4.59852552808889,7.979030113143271
354.66795,-2.3075,-1693.13,3393836.59,4.091934142979495,7.705793461604915
354.66728,-2.3024,-1696.64,3393833.19,3.599885437852263,7.2115582818334945
354.66662,-2.2973,-1696.63,3393833.31,3.3693928652955187,5.446955988807476
354.66595,-2.2922,-1694.59,3393835.46,3.2915010869896992,3.939248858860564
354.66529,-2.2872,-1693.2,3393836.97,3.0564725242448496,4.103455374516833
354.66462,-2.2821,-1687.43,3393842.85,4.678717782728171,4.27744527566227
354.66396,-2.277,-1681.17,3393849.22,5.034795561205646,3.749449902788706
