long_east,lat_north,altitude
137.25068,-5.0663,-3070.35
137.25001,-5.0714,-3043.82
137.24935,-5.0765,-3028.2
137.24868,-5.0816,-3040.29
137.24802,-5.0867,-3028.04
137.94138,-4.1074,-1993.64
137.94071,-4.1125,-2145.87
137.94008,-4.1176,-2266.59
137.93943,-4.1227,-2338.78
137.93877,-4.1278,-2339.48
137.93812,-4.1329,-2331.93
137.93747,-4.138,-2403.1
137.93681,-4.143,-2442.07
137.93616,-4.1481,-2561.52
137.93551,-4.1532,-2706.0
137.93485,-4.1583,-2820.4
137.9342,-4.1634,-2909.15
137.93355,-4.1685,-3012.25
137.93289,-4.1735,-3062.76
137.93224,-4.1786,-3127.47
137.93159,-4.1837,-3120.33
137.93093,-4.1888,-3154.44
137.93028,-4.1939,-3204.14
137.92963,-4.199,-3238.26
137.92897,-4.2041,-3359.91
137.92767,-4.2142,-3607.17
137.92702,-4.2193,-3696.63
137.92636,-4.2244,-3742.49
137.92571,-4.2295,-3753.69
137.92506,-4.2346,-3765.12
137.9244,-4.2397,-3777.19
137.92375,-4.2448,-3788.73
137.9231,-4.2499,-3798.4
137.92244,-4.2549,-3820.12
137.92179,-4.26,-3841.37
137.92114,-4.2651,-3915.56
137.92048,-4.2702,-3972.17
137.91983,-4.2753,-3998.57
137.91918,-4.2804,-4023.59
137.91852,-4.2855,-4040.44
137.91787,-4.2906,-4057.27
137.91722,-4.2957,-4072.35
137.91656,-4.3007,-4083.2
137.91591,-4.3058,-4087.56
137.91526,-4.3109,-4085.73
137.9146,-4.316,-4098.33
137.91327,-4.3262,-4116.99
137.91261,-4.3313,-4127.73
137.91195,-4.3364,-4141.97
137.91129,-4.3415,-4152.82
137.91063,-4.3466,-4164.75
137.90997,-4.3517,-4172.6
137.90931,-4.3567,-4177.02
137.90865,-4.3618,-4184.12
137.90799,-4.3669,-4196.0
137.90733,-4.372,-4202.28
137.90667,-4.3771,-4209.39
137.90601,-4.3822,-4216.43
137.90535,-4.3873,-4224.29
137.90469,-4.3924,-4235.53
137.90403,-4.3975,-4242.48
137.90337,-4.4026,-4248.08
137.90271,-4.4077,-4251.86
137.90205,-4.4127,-4261.51
137.90139,-4.4178,-4266.39
137.90073,-4.4229,-4272.28
137.90007,-4.428,-4283.38
137.89941,-4.4331,-4286.8
137.89875,-4.4382,-4289.0
137.89809,-4.4433,-4296.5
137.89742,-4.4484,-4305.37
137.89676,-4.4535,-4309.41
137.8961,-4.4586,-4319.2
137.89544,-4.4637,-4311.48
137.89478,-4.4688,-4278.51
137.89412,-4.4739,-4175.78
137.89346,-4.479,-4104.13
137.8928,-4.484,-4160.38
137.89214,-4.4891,-4242.79
137.89148,-4.4942,-4259.64
137.89082,-4.4993,-4270.82
137.89016,-4.5044,-4259.15
137.8895,-4.5095,-4266.45
137.88884,-4.5146,-4223.35
137.88818,-4.5197,-4222.25
137.88754,-4.5248,-4188.45
137.88688,-4.5299,-4161.39
137.88623,-4.535,-4112.3
137.88557,-4.5401,-4079.51
137.88492,-4.5452,-4053.98
137.88426,-4.5503,-4040.02
137.88361,-4.5554,-4022.51
137.88295,-4.5605,-4013.72
137.8823,-4.5656,-4000.57
137.88164,-4.5707,-3989.61
137.88099,-4.5758,-3972.03
137.88033,-4.5809,-3932.18
137.87968,-4.586,-3921.0
137.87902,-4.5911,-3863.54
137.87837,-4.5962,-3878.09
137.87771,-4.6013,-3872.52
137.87706,-4.6064,-3857.05
137.8764,-4.6115,-3811.74
137.87575,-4.6166,-3815.72
137.87509,-4.6217,-3806.65
137.87444,-4.6268,-3786.43
137.87378,-4.6319,-3735.36
137.87313,-4.637,-3669.64
137.87247,-4.6421,-3626.85
137.87182,-4.6472,-3617.58
137.87116,-4.6523,-3529.06
137.87051,-4.6574,-3539.12
137.86985,-4.6624,-3556.65
137.86919,-4.6675,-3529.62
137.86854,-4.6726,-3491.63
137.86788,-4.6777,-3462.42
137.86723,-4.6828,-3430.17
137.86657,-4.6879,-3396.24
137.86592,-4.693,-3350.59
137.86526,-4.6981,-3299.97
137.86461,-4.7032,-3251.51
137.86395,-4.7083,-3198.69
137.8633,-4.7134,-3107.24
137.86264,-4.7185,-3042.98
137.86198,-4.7236,-2995.47
137.86131,-4.7287,-2927.17
137.86064,-4.7338,-2846.11
137.85998,-4.7389,-2754.31
137.85931,-4.744,-2651.81
137.85865,-4.7491,-2594.69
137.85798,-4.7542,-2533.74
137.85732,-4.7593,-2472.91
137.85666,-4.7644,-2394.18
137.85599,-4.7695,-2290.73
137.85533,-4.7746,-2196.15
137.85466,-4.7797,-2102.88
137.854,-4.7848,-2013.14
137.85333,-4.7899,-1924.34
137.85267,-4.795,-1830.14
137.852,-4.8001,-1737.25
137.85134,-4.8052,-1653.94
137.85067,-4.8103,-1569.19
137.85001,-4.8154,-1491.51
137.84934,-4.8205,-1415.8
137.84868,-4.8256,-1340.77
137.84801,-4.8307,-1265.82
137.84735,-4.8358,-1179.11
137.84669,-4.8409,-1104.57
137.84602,-4.846,-1021.34
137.84536,-4.8511,-926.43
137.84469,-4.8562,-839.1
137.84403,-4.8613,-756.65
137.84336,-4.8664,-670.94
137.8427,-4.8715,-581.36
137.84204,-4.8766,-504.47
137.84137,-4.8817,-427.28
137.84071,-4.8868,-350.8
137.84004,-4.8919,-264.58
137.83938,-4.897,-178.29
137.83871,-4.9021,-105.62
137.83805,-4.9072,-28.29
137.83738,-4.9123,51.29
137.83672,-4.9174,123.95
137.83606,-4.9225,189.62
137.83539,-4.9276,236.55
137.83475,-4.9327,255.0
137.8341,-4.9378,290.31
137.83345,-4.9429,317.23
137.83279,-4.948,338.68
137.83214,-4.9531,358.28
137.83148,-4.9582,372.84
137.83083,-4.9633,385.79
137.83018,-4.9684,402.39
137.82952,-4.9735,415.07
137.82887,-4.9785,425.69
137.82822,-4.9836,421.93
137.82756,-4.9887,401.85
137.82691,-4.9938,407.77
137.82625,-4.9989,389.88
137.8256,-5.004,385.16
137.82495,-5.0091,369.08
137.82429,-5.0142,331.69
137.82364,-5.0193,302.36
137.82299,-5.0244,277.06
137.82233,-5.0294,244.8
137.82103,-5.0396,198.94
137.82037,-5.0447,190.77
137.81972,-5.0498,166.38
137.81906,-5.0549,155.29
137.81841,-5.06,140.01
137.81776,-5.0651,120.09
137.8171,-5.0702,109.0
137.81645,-5.0753,92.17
137.81579,-5.0804,86.45
137.81514,-5.0854,68.93
137.37258,-4.0904,-2658.18
137.37192,-4.0954,-2669.06
137.37126,-4.1005,-2676.73
137.37061,-4.1056,-2674.88
137.36995,-4.1107,-2691.2
137.36929,-4.1158,-2648.02
137.36863,-4.1209,-2637.65
137.36731,-4.1311,-2721.41
137.36666,-4.1362,-2798.55
137.366,-4.1413,-2858.09
137.36536,-4.1464,-2876.8
137.36469,-4.1515,-2874.14
137.36403,-4.1566,-2857.48
137.36337,-4.1617,-2932.38
137.36271,-4.1668,-2990.14
137.36205,-4.1719,-2987.77
137.36138,-4.1769,-2973.39
137.36072,-4.182,-2954.26
137.36006,-4.1871,-2958.42
137.3594,-4.1922,-3039.64
137.35874,-4.1973,-3068.41
137.35808,-4.2024,-3101.39
137.35741,-4.2075,-3119.89
137.35675,-4.2126,-3223.76
137.3561,-4.2177,-3361.17
137.35544,-4.2228,-3533.05
137.35478,-4.2279,-3655.76
137.35412,-4.233,-3745.27
137.35346,-4.2381,-3824.56
137.3528,-4.2432,-3896.43
137.35212,-4.2483,-3944.33
137.35145,-4.2534,-3960.46
137.35079,-4.2585,-3976.78
137.35012,-4.2636,-3995.9
137.34946,-4.2687,-4009.33
137.34879,-4.2738,-4023.1
137.34813,-4.2788,-4033.94
137.34746,-4.2839,-4025.22
137.3468,-4.289,-3989.16
137.34613,-4.2941,-3896.59
137.34546,-4.2992,-3851.97
137.3448,-4.3043,-3960.14
137.34413,-4.3094,-4055.64
137.34347,-4.3145,-4065.08
137.3428,-4.3196,-4048.07
137.34214,-4.3247,-4110.12
137.34147,-4.3298,-4162.26
137.34081,-4.3349,-4185.39
137.34014,-4.34,-4199.94
137.33948,-4.3451,-4214.84
137.33813,-4.3553,-4231.14
137.33747,-4.3604,-4236.1
137.33681,-4.3655,-4248.03
137.33615,-4.3706,-4253.94
137.33548,-4.3757,-4263.2
137.33482,-4.3808,-4272.46
137.33416,-4.3859,-4277.32
137.3335,-4.391,-4281.03
137.33284,-4.3961,-4291.92
137.33217,-4.4012,-4304.42
137.33151,-4.4063,-4319.43
137.33085,-4.4113,-4328.7
137.33019,-4.4164,-4335.83
137.32953,-4.4215,-4340.63
137.3282,-4.4317,-4349.87
137.32754,-4.4368,-4352.43
137.32688,-4.4419,-4354.3
137.32622,-4.447,-4361.26
137.32557,-4.4521,-4366.7
137.32491,-4.4571,-4370.87
137.32425,-4.4622,-4375.65
137.32359,-4.4673,-4380.14
137.32293,-4.4724,-4385.69
137.32227,-4.4775,-4389.31
137.32161,-4.4826,-4394.14
137.32095,-4.4877,-4399.96
