long_east,lat_north,altitude
175.26372,-15.0429,-1904.2
175.26304,-15.048,-1903.79
175.26236,-15.0531,-1901.36
175.26168,-15.0583,-1897.58
175.32876,-15.0562,-1883.05
175.32808,-15.051,-1883.85
175.3274,-15.0459,-1878.9
175.32673,-15.0408,-1877.51
175.32605,-15.0357,-1882.95
175.32537,-15.0305,-1882.33
175.3247,-15.0254,-1884.12
175.32402,-15.0203,-1883.7
175.32334,-15.0152,-1882.08
175.32266,-15.0101,-1877.01
175.32199,-15.0049,-1882.74
175.32131,-14.9998,-1885.21
175.32063,-14.9947,-1888.42
175.31996,-14.9896,-1885.65
175.31928,-14.9844,-1878.59
175.3186,-14.9793,-1876.43
175.31792,-14.9742,-1880.43
175.31725,-14.9691,-1877.64
175.31657,-14.964,-1878.55
175.31589,-14.9588,-1879.0
175.31522,-14.9537,-1876.69
175.31454,-14.9486,-1870.47
175.31386,-14.9435,-1874.32
175.31318,-14.9383,-1876.45
175.3125,-14.9332,-1872.44
175.31183,-14.9281,-1872.29
175.31115,-14.923,-1871.61
175.31047,-14.9179,-1873.7
175.30979,-14.9128,-1875.01
175.30911,-14.9076,-1876.91
175.30844,-14.9025,-1878.72
175.30776,-14.8974,-1877.28
175.30708,-14.8923,-1877.11
175.3064,-14.8872,-1877.69
175.30572,-14.8821,-1878.14
175.30504,-14.8769,-1876.52
175.30437,-14.8718,-1876.37
175.30369,-14.8667,-1879.13
175.30301,-14.8616,-1884.55
175.30233,-14.8565,-1887.4
175.30165,-14.8514,-1892.71
175.30098,-14.8462,-1886.23
175.3003,-14.8411,-1887.81
175.29962,-14.836,-1884.99
175.29894,-14.8309,-1883.63
175.29826,-14.8258,-1885.2
175.29759,-14.8207,-1884.29
175.29691,-14.8155,-1893.82
175.29623,-14.8104,-1896.56
175.29555,-14.8053,-1894.94
175.29488,-14.8002,-1894.79
175.2942,-14.7951,-1889.57
175.29352,-14.79,-1893.62
175.29284,-14.7848,-1900.03
175.29217,-14.7797,-1900.58
175.29149,-14.7746,-1897.11
175.29081,-14.7695,-1898.24
