long_east_deg,lat_north_deg,altitude_m,radius_m
354.59269,-1.7276,-1426.29,3394114.82
354.59203,-1.7225,-1427.05,3394114.15
354.59136,-1.7174,-1428.39,3394112.9
354.59072,-1.7123,-1429.57,3394111.8
354.59006,-1.7072,-1431.49,3394109.96
354.58939,-1.7021,-1431.21,3394110.32
354.58872,-1.6971,-1432.04,3394109.57
354.58806,-1.692,-1433.68,3394108.01
354.58739,-1.6869,-1435.3,3394106.47
354.58672,-1.6818,-1436.11,3394105.74
354.58606,-1.6767,-1438.38,3394103.56
354.58539,-1.6717,-1440.42,3394101.6
354.58472,-1.6666,-1440.84,3394101.26
354.58406,-1.6615,-1440.25,3394101.93
354.58339,-1.6564,-1439.62,3394102.64
354.58272,-1.6514,-1441.1,3394101.24
354.58139,-1.6412,-1443.59,3394098.92
354.58072,-1.6361,-1442.28,3394100.31
354.58005,-1.631,-1440.46,3394102.21
354.57939,-1.626,-1440.17,3394102.58
354.57872,-1.6209,-1441.68,3394101.15
354.57805,-1.6158,-1443.58,3394099.33
354.57737,-1.6107,-1444.4,3394098.6
354.57671,-1.6057,-1443.88,3394099.19
354.57604,-1.6006,-1443.85,3394099.3
354.57537,-1.5955,-1444.09,3394099.14
354.5747,-1.5904,-1444.4,3394098.9
354.57403,-1.5854,-1445.28,3394098.1
354.57336,-1.5803,-1444.68,3394098.77
354.57269,-1.5752,-1444.05,3394099.48
354.57202,-1.5701,-1442.56,3394101.05
354.57135,-1.5651,-1440.72,3394102.96
354.57068,-1.56,-1440.82,3394102.94
354.57001,-1.5549,-1441.06,3394102.77
354.56934,-1.5498,-1440.78,3394103.13
354.56868,-1.5447,-1439.65,3394104.34
354.56801,-1.5397,-1438.33,3394105.73
354.56734,-1.5346,-1437.61,3394106.53
354.56667,-1.5295,-1437.64,3394106.57
354.566,-1.5244,-1437.01,3394107.28
354.56533,-1.5194,-1437.07,3394107.3
354.56466,-1.5143,-1437.9,3394106.54
354.56397,-1.5092,-1439.89,3394104.63
354.56331,-1.5042,-1440.67,3394103.92
354.56264,-1.4991,-1441.99,3394102.67
354.56198,-1.494,-1443.86,3394100.87
354.56131,-1.4889,-1446.13,3394098.67
354.56065,-1.4838,-1442.55,3394102.32
354.55998,-1.4788,-1441.48,3394103.46
354.55932,-1.4737,-1440.12,3394104.89
354.55865,-1.4686,-1440.9,3394104.18
354.55799,-1.4635,-1442.43,3394102.72
354.55733,-1.4584,-1443.04,3394102.19
354.55666,-1.4533,-1442.74,3394102.56
354.556,-1.4483,-1441.52,3394103.85
354.58746,-1.4508,-1440.48,3394105.29
354.5868,-1.4559,-1440.65,3394105.04
354.58614,-1.461,-1442.56,3394103.03
354.58548,-1.4661,-1444.21,3394101.29
354.58482,-1.4712,-1445.23,3394100.18
354.58416,-1.4762,-1445.42,3394099.9
354.58349,-1.4813,-1445.95,3394099.27
354.58282,-1.4865,-1445.67,3394099.46
354.58215,-1.4916,-1445.4,3394099.63
354.58148,-1.4967,-1444.57,3394100.37
354.58081,-1.5018,-1443.95,3394100.89
354.58014,-1.5069,-1443.18,3394101.56
354.57947,-1.512,-1442.27,3394102.38
354.5788,-1.5171,-1440.91,3394103.64
354.57813,-1.5222,-1439.78,3394104.68
354.57747,-1.5273,-1438.4,3394105.96
354.5768,-1.5324,-1438.74,3394105.53
354.57613,-1.5375,-1440.06,3394104.11
354.57546,-1.5426,-1441.23,3394102.85
354.57479,-1.5477,-1440.57,3394103.41
354.57412,-1.5528,-1441.46,3394102.42
354.57345,-1.5579,-1441.07,3394102.72
354.57278,-1.563,-1441.15,3394102.54
354.57211,-1.5681,-1441.75,3394101.85
354.57144,-1.5732,-1443.7,3394099.8
354.57078,-1.5783,-1444.46,3394098.94
354.57011,-1.5834,-1445.69,3394097.61
354.56944,-1.5885,-1446.18,3394097.02
354.56877,-1.5936,-1445.37,3394097.73
354.5681,-1.5987,-1444.38,3394098.62
354.56743,-1.6038,-1444.14,3394098.76
354.56676,-1.6089,-1444.21,3394098.59
354.56609,-1.614,-1444.35,3394098.34
354.56542,-1.6191,-1444.39,3394098.2
354.56476,-1.6242,-1442.89,3394099.6
354.56409,-1.6293,-1441.19,3394101.2
354.56342,-1.6344,-1442.35,3394099.94
354.56275,-1.6395,-1442.5,3394099.69
354.56208,-1.6446,-1443.97,3394098.11
354.56141,-1.6497,-1444.73,3394097.25
354.56074,-1.6548,-1444.44,3394097.44
354.56007,-1.6599,-1442.4,3394099.38
354.5594,-1.665,-1440.05,3394101.63
354.55873,-1.6701,-1435.67,3394105.91
354.55807,-1.6752,-1438.11,3394103.37
354.55677,-1.6854,-1439.3,3394101.98
354.55612,-1.6904,-1436.03,3394105.14
354.55547,-1.6955,-1437.32,3394103.75
354.55483,-1.7006,-1437.32,3394103.64
354.55418,-1.7057,-1436.55,3394104.3
354.55353,-1.7108,-1436.37,3394104.38
354.55288,-1.7159,-1434.83,3394105.81
354.55224,-1.7209,-1433.75,3394106.79
354.55159,-1.726,-1432.84,3394107.59
354.55094,-1.7311,-1430.14,3394110.19
354.55029,-1.7362,-1428.48,3394111.74
354.54965,-1.7413,-1426.62,3394113.5
354.549,-1.7464,-1424.13,3394115.88
354.54835,-1.7515,-1423.02,3394116.89
354.5477,-1.7565,-1420.79,3394119.01
354.54706,-1.7616,-1419.78,3394119.91
354.54641,-1.7667,-1419.09,3394120.5
354.54576,-1.7718,-1417.62,3394121.86
