long_east_deg,lat_north_deg,altitude_m,radius_m
136.00327,4.2303,-2802.5,3392901.77
136.00259,4.2252,-2883.51,3392821.03
136.0019,4.2202,-2772.46,3392932.34
136.00121,4.2151,-2597.84,3393107.22
136.00053,4.21,-2616.28,3393089.05
135.99985,4.2049,-2643.53,3393062.06
135.99916,4.1999,-2648.28,3393057.57
135.99848,4.1948,-2652.17,3393053.94
135.99779,4.1897,-2653.06,3393053.32
135.99711,4.1846,-2655.24,3393051.4
135.99643,4.1796,-2655.04,3393051.86
135.99574,4.1745,-2654.36,3393052.81
135.99506,4.1694,-2655.76,3393051.67
135.99437,4.1643,-2655.57,3393052.12
135.99369,4.1593,-2651.11,3393056.85
135.993,4.1542,-2653.32,3393054.9
135.9924,4.1491,-2654.45,3393054.03
135.99175,4.144,-2652.08,3393056.66
135.9911,4.1389,-2655.77,3393053.23
135.99045,4.1338,-2655.79,3393053.47
135.98979,4.1287,-2655.23,3393054.28
135.98914,4.1236,-2656.15,3393053.62
135.98849,4.1185,-2655.6,3393054.43
135.98784,4.1134,-2654.59,3393055.7
135.98719,4.1083,-2648.11,3393062.43
135.98654,4.1032,-2654.34,3393056.46
135.98589,4.0981,-2653.68,3393057.38
135.98524,4.093,-2652.42,3393058.9
135.98459,4.0879,-2651.38,3393060.19
135.98394,4.0828,-2650.37,3393061.46
135.98328,4.0777,-2650.99,3393061.1
135.98263,4.0726,-2653.16,3393059.19
135.98198,4.0675,-2651.01,3393061.59
135.98133,4.0624,-2650.5,3393062.36
135.98068,4.0573,-2649.07,3393064.05
135.98003,4.0522,-2648.89,3393064.49
135.97939,4.0471,-2648.01,3393065.62
135.97874,4.042,-2645.19,3393068.69
135.97808,4.037,-2644.14,3393070.0
135.97743,4.0319,-2643.25,3393071.14
135.97678,4.0268,-2643.76,3393070.88
135.97613,4.0217,-2640.94,3393073.95
135.97547,4.0166,-2639.94,3393075.21
135.97482,4.0115,-2638.2,3393077.2
135.97417,4.0064,-2638.11,3393077.54
135.68822,4.0046,-2613.92,3393104.4
135.68755,4.0097,-2613.57,3393104.51
135.68689,4.0148,-2614.15,3393103.69
135.68622,4.0199,-2611.94,3393105.66
135.68556,4.025,-2611.93,3393105.43
135.68489,4.0301,-2610.14,3393106.98
135.68423,4.0352,-2608.57,3393108.32
135.68357,4.0403,-2606.76,3393109.89
135.6829,4.0454,-2603.75,3393112.66
135.68224,4.0505,-2600.26,3393115.91
135.68157,4.0556,-2601.49,3393114.44
135.68091,4.0607,-2601.82,3393113.87
135.68024,4.0658,-2602.06,3393113.38
135.67958,4.0709,-2601.42,3393113.78
135.67892,4.076,-2596.93,3393118.02
135.67825,4.0811,-2592.04,3393122.67
135.67759,4.0862,-2591.31,3393123.15
135.67692,4.0912,-2601.7,3393112.52
135.67626,4.0963,-2602.49,3393111.48
135.6756,4.1014,-2602.03,3393111.7
135.67493,4.1065,-2601.68,3393111.8
135.67427,4.1116,-2601.93,3393111.31
135.67361,4.1167,-2600.15,3393112.84
135.67294,4.1218,-2597.92,3393114.83
135.67228,4.1269,-2595.62,3393116.88
135.67161,4.132,-2595.61,3393116.65
135.67095,4.1371,-2596.75,3393115.26
135.67029,4.1422,-2595.91,3393115.86
135.66962,4.1473,-2596.78,3393114.74
135.66896,4.1524,-2595.81,3393115.47
135.66829,4.1575,-2598.78,3393112.25
135.66697,4.1676,-2602.53,3393108.0
135.6663,4.1727,-2603.99,3393106.29
135.66564,4.1778,-2603.37,3393106.66
135.66498,4.1829,-2602.13,3393107.65
135.66431,4.188,-2600.57,3393108.96
135.66365,4.1931,-2598.36,3393110.92
135.66299,4.1982,-2593.8,3393115.23
135.66232,4.2033,-2593.07,3393115.71
135.66166,4.2084,-2591.98,3393116.55
135.66099,4.2135,-2591.58,3393116.69
135.66033,4.2185,-2593.78,3393114.24
135.65967,4.2236,-2595.97,3393111.8
135.659,4.2287,-2597.77,3393109.75
135.65834,4.2338,-2597.12,3393110.15
135.65768,4.2389,-2596.76,3393110.26
135.65701,4.244,-2597.08,3393109.69
135.65635,4.2491,-2594.48,3393112.04
135.65568,4.2542,-2597.79,3393108.48
135.65502,4.2593,-2597.06,3393108.96
135.65438,4.2644,-2595.45,3393110.32
135.65371,4.2695,-2597.01,3393108.5
135.65304,4.2746,-2597.33,3393107.92
135.65171,4.2847,-2601.33,3393103.41
135.65104,4.2898,-2605.87,3393098.61
135.65037,4.2949,-2605.82,3393098.41
135.6497,4.3,-2608.34,3393095.63
135.64903,4.3051,-2608.76,3393094.95
135.64837,4.3102,-2608.8,3393094.66
135.6477,4.3153,-2607.18,3393096.02
135.64703,4.3204,-2607.17,3393095.78
135.64636,4.3255,-2608.38,3393094.31
135.6457,4.3306,-2605.93,3393096.5
135.64503,4.3356,-2607.07,3393095.11
135.64436,4.3407,-2606.34,3393095.58
135.64369,4.3458,-2605.11,3393096.55
135.64302,4.3509,-2605.1,3393096.31
135.64236,4.356,-2606.64,3393094.51
135.64169,4.3611,-2606.49,3393094.4
135.64101,4.3662,-2608.18,3393092.46
135.64034,4.3713,-2608.84,3393091.54
135.63967,4.3764,-2609.06,3393091.05
135.639,4.3815,-2611.4,3393088.45
135.63833,4.3865,-2612.08,3393087.51
135.63765,4.3916,-2611.75,3393087.58
135.63698,4.3967,-2612.66,3393086.41
135.63631,4.4018,-2613.09,3393085.71
135.63564,4.4069,-2612.68,3393085.86
135.63497,4.412,-2613.35,3393084.93
135.6343,4.4171,-2612.98,3393085.04
135.63363,4.4222,-2611.78,3393085.98
135.63229,4.4323,-2614.08,3393083.15
135.63162,4.4374,-2614.06,3393082.91
135.63095,4.4425,-2614.04,3393082.67
135.63028,4.4476,-2612.82,3393083.63
135.62961,4.4527,-2614.73,3393081.46
135.62894,4.4578,-2613.97,3393081.95
135.62827,4.4629,-2613.5,3393082.16
135.62758,4.468,-2611.97,3393083.43
135.62691,4.4731,-2610.52,3393084.61
135.62625,4.4782,-2611.18,3393083.68
135.62558,4.4832,-2613.07,3393081.52
135.62492,4.4883,-2615.14,3393079.18
135.62425,4.4934,-2615.04,3393079.02
135.62358,4.4985,-2616.17,3393077.62
135.62292,4.5036,-2616.59,3393076.93
135.62225,4.5087,-2616.6,3393076.65
135.62159,4.5138,-2614.26,3393078.72
135.62092,4.5189,-2617.61,3393075.11
135.62026,4.524,-2619.16,3393073.29
135.61959,4.529,-2620.49,3393071.69
135.61892,4.5341,-2620.12,3393071.79
135.61826,4.5392,-2620.46,3393071.18
135.61759,4.5443,-2621.14,3393070.24
135.61693,4.5494,-2621.81,3393069.3
135.61626,4.5545,-2623.0,3393067.84
135.61559,4.5596,-2622.94,3393067.63
135.61493,4.5647,-2622.21,3393068.09
135.61428,4.5697,-2623.94,3393066.1
135.61362,4.5748,-2622.74,3393067.03
135.61296,4.5799,-2625.06,3393064.43
135.61229,4.585,-2626.44,3393062.78
