long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg,roughness_rms_m
175.39332,-14.0712,-1929.58,3392380.98,0.3331870942023857,2.0837204748738323
175.39264,-14.0763,-1929.02,3392380.78,0.3314553149699067,2.31525566247208
175.39196,-14.0814,-1928.96,3392380.09,0.3199712313695756,2.2389368146478925
175.39128,-14.0865,-1928.53,3392379.76,0.3554029197401137,2.288541214999324
175.3906,-14.0916,-1925.32,3392382.22,0.405373876829228,2.103494835031157
175.38992,-14.0968,-1925.19,3392381.59,0.4141850792341591,2.132771865272777
175.38924,-14.1019,-1924.44,3392381.58,0.3787471609582925,2.0496977978654813
175.38856,-14.107,-1918.64,3392386.63,0.3511009599041619,2.01371123738166
175.38788,-14.1121,-1920.06,3392384.45,0.3244202041168436,2.061368919482205
175.3872,-14.1172,-1919.16,3392384.59,0.2663256554087372,1.978432203075352
175.38652,-14.1223,-1920.22,3392382.78,0.2269355563554634,1.787297469242502
175.38585,-14.1274,-1919.37,3392382.87,0.2097289375927568,1.6576871284779124
175.38517,-14.1326,-1919.35,3392382.13,0.2257875997718187,1.6663591896310377
175.38448,-14.1377,-1917.25,3392383.48,0.2670899624702198,1.5155148413287705
175.3838,-14.1428,-1916.88,3392383.09,0.3284347045122407,1.761831606343584
175.38312,-14.1479,-1916.37,3392382.84,0.3214304826643271,1.7496690248142373
175.38244,-14.153,-1913.92,3392384.53,0.3275048448484555,1.810950087331637
175.38176,-14.1582,-1915.75,3392381.95,0.3008987963768616,1.7676249901567955
175.38108,-14.1633,-1914.42,3392382.52,0.2828810944077453,1.6721690038318566
175.3804,-14.1684,-1914.37,3392381.81,0.2780500231796955,1.5479545330936144
175.37972,-14.1735,-1913.54,3392381.88,0.2655482267183899,1.52398212418182
175.37904,-14.1786,-1911.08,3392383.59,0.2863298847198222,1.4763007603414686
175.37836,-14.1837,-1913.21,3392380.7,0.2643491155225983,1.3812417731060755
175.37768,-14.1889,-1911.27,3392381.88,0.2346445011400321,1.3627388950625776
175.37699,-14.194,-1907.05,3392385.34,0.1930826731984666,1.6254644787463386
175.37631,-14.1991,-1910.0,3392381.64,0.1593142969174876,1.7754107792699665
175.37563,-14.2042,-1910.57,3392380.31,0.1402931090041428,1.5770761450375743
175.37495,-14.2093,-1910.93,3392379.19,0.0703978899538987,1.7137599883628505
175.37427,-14.2144,-1912.54,3392376.82,0.0355219702955893,1.724645011734999
175.37359,-14.2196,-1911.1,3392377.51,0.079238056235252,1.7059209742618462
