long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg
175.334,-14.5161,-1894.69,3392349.95,0.7343326463154113
175.33331,-14.5212,-1895.12,3392348.76,0.6344966877724665
175.33263,-14.5263,-1896.89,3392346.23,0.6187019693980075
175.33195,-14.5314,-1898.86,3392343.5,0.6286149444926236
175.33127,-14.5366,-1898.47,3392343.13,0.663358167727554
175.33059,-14.5417,-1899.88,3392340.96,0.6532320945718136
175.32991,-14.5468,-1902.77,3392337.31,0.6210143755783272
175.32923,-14.5519,-1905.25,3392334.07,0.5517802910860644
175.32855,-14.557,-1905.76,3392332.8,0.4371612719927556
175.32786,-14.5621,-1905.42,3392332.38,0.34372197260254383
175.32718,-14.5673,-1904.08,3392332.96,0.2737602782755407
175.3265,-14.5724,-1905.11,3392331.17,0.23353066178978457
175.32582,-14.5775,-1904.25,3392331.27,0.2013868614910062
175.32514,-14.5826,-1904.61,3392330.15,0.18940059919119068
175.32446,-14.5877,-1904.85,3392329.15,0.21184585677872947
175.32377,-14.5929,-1903.88,3392329.36,0.2234992306447362
175.32309,-14.598,-1903.75,3392328.73,0.22698165791258249
175.32241,-14.6031,-1903.7,3392328.02,0.23647671860295832
175.32173,-14.6082,-1902.36,3392328.6,0.2734788299853738
175.32105,-14.6133,-1902.43,3392327.77,0.3002314870982937
175.32037,-14.6184,-1900.68,3392328.76,0.3120357815218098
175.31968,-14.6236,-1901.39,3392327.29,0.2675288812370196
175.319,-14.6287,-1899.09,3392328.83,0.19107571403914358
175.31832,-14.6338,-1898.57,3392328.59,0.6523800112588909
175.31764,-14.6389,-1904.45,3392321.95,0.8526729122946314
175.31696,-14.644,-1907.95,3392317.69,0.8301569749157263
175.31628,-14.6492,-1928.17,3392296.7,0.6700281441406342
175.3156,-14.6543,-1923.92,3392300.19,0.4686353856895954
175.31491,-14.6594,-1918.84,3392304.51,0.7424190164190457
175.31423,-14.6645,-1903.42,3392319.17,1.444832172674163
175.31355,-14.6696,-1898.5,3392323.33,2.376949424442023
175.31287,-14.6747,-1888.98,3392332.09,2.418401247907828
175.31218,-14.6798,-1880.65,3392339.66,2.5503666386171333
175.3115,-14.6849,-1845.22,3392374.33,4.843270804489681
175.31082,-14.6901,-1807.64,3392411.15,7.075321766897818
175.31014,-14.6952,-1846.63,3392371.4,8.761512704169617
175.30945,-14.7003,-1880.85,3392336.42,9.712335831757994
175.30877,-14.7054,-1838.13,3392378.38,10.114929747647466
175.30809,-14.7105,-1790.7,3392425.05,7.771957860417899
175.30741,-14.7156,-1799.53,3392415.46,4.011683360588894
175.30672,-14.7207,-1802.39,3392411.84,0.6311905497891371
175.30604,-14.7258,-1821.92,3392391.55,1.462563165862628
175.30536,-14.7309,-1838.26,3392374.45,2.579669352270796
175.30468,-14.7361,-1854.6,3392357.35,2.685269770959266
175.304,-14.7412,-1864.57,3392346.62,2.3106078398069045
175.30331,-14.7463,-1868.14,3392342.29,1.8186425384774065
175.30263,-14.7514,-1889.07,3392320.6,1.1486430192227337
175.30195,-14.7565,-1890.89,3392318.02,0.6719809677909195
175.30127,-14.7616,-1895.21,3392312.94,0.44760297087658557
175.30058,-14.7667,-1896.62,3392310.77,0.38937700116442225
175.2999,-14.7718,-1898.37,3392308.26,0.46687478122170806
175.29922,-14.7769,-1899.74,3392306.12,0.341719238721633
175.29854,-14.782,-1900.44,3392304.66,0.2371119835868322
175.29785,-14.7872,-1892.8,3392311.54,0.20540710947136304
175.29717,-14.7923,-1892.72,3392310.86,0.17315718812757835
