long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg
137.72471,-4.227,-3954.02,3391698.75,4.1626049414166175
137.72404,-4.2219,-3938.57,3391714.49,3.525118528288544
137.72338,-4.2168,-3922.21,3391731.16,5.2800222712955955
137.72271,-4.2117,-3901.95,3391751.73,5.575501059361717
137.72205,-4.2066,-3882.44,3391771.55,6.717714111133624
137.72139,-4.2015,-3857.42,3391796.87,7.84241971038836
137.72072,-4.1964,-3806.72,3391847.88,8.58013276753935
137.72006,-4.1913,-3727.79,3391927.12,9.101200889621055
137.7194,-4.1862,-3692.27,3391962.94,9.449028013904563
137.71874,-4.1811,-3635.16,3392020.35,9.366127890922021
137.71807,-4.176,-3577.54,3392078.27,9.751076433877225
137.71741,-4.1709,-3504.85,3392151.26,10.773380386816534
137.71675,-4.1658,-3455.42,3392201.0,11.790663801817981
137.71608,-4.1607,-3404.48,3392252.23,12.904329571763865
137.71542,-4.1556,-3341.91,3392315.1,13.841804025374731
137.71476,-4.1505,-3258.7,3392398.61,15.088048285793013
137.71409,-4.1454,-3167.93,3392489.69,16.02691710044711
137.71343,-4.1403,-3070.21,3392587.71,16.557083170167665
137.71277,-4.1352,-2997.04,3392661.18,17.39391756012044
137.7121,-4.1301,-2897.88,3392760.64,18.334778062244002
137.71144,-4.125,-2790.35,3392868.48,19.814773318201137
137.71078,-4.1199,-2675.23,3392983.9,21.88975451274961
137.71011,-4.1148,-2556.53,3393102.9,23.561107937599836
137.70945,-4.1097,-2415.17,3393244.55,22.384262812083822
137.70878,-4.1046,-2266.51,3393393.52,24.75073336627985
137.70812,-4.0995,-2130.85,3393529.48,
137.70746,-4.0944,-2119.32,3393541.31,
137.94135,-4.6601,-3335.07,3392289.37,
137.94067,-4.6652,-3367.02,3392257.12,
137.94,-4.6703,-3432.65,3392191.19,
137.93932,-4.6754,-3422.33,3392201.2,10.930065535578581
137.93797,-4.6856,-3308.22,3392314.71,6.229291261312373
137.9373,-4.6907,-3328.07,3392294.56,5.132243995888346
137.93595,-4.7009,-3298.0,3392324.03,2.6305177908421773
137.93527,-4.706,-3272.09,3392349.63,4.369159765984531
137.9346,-4.711,-3256.97,3392364.45,5.650499764287973
137.93393,-4.7161,-3236.09,3392385.02,5.7932189050052205
137.93325,-4.7212,-3208.86,3392411.95,6.167254283850319
137.93258,-4.7263,-3157.47,3392463.04,6.573038053883877
137.9319,-4.7314,-3129.31,3392490.89,6.66297253575898
137.93123,-4.7365,-3094.67,3392525.23,6.413471980621981
137.93055,-4.7416,-3059.64,3392559.95,6.562725264150514
137.92988,-4.7467,-3021.09,3392598.2,7.528202021211373
137.92921,-4.7518,-2983.54,3392635.44,9.02519563223672
137.92853,-4.7569,-2932.03,3392686.65,10.528747508604576
137.92786,-4.762,-2877.38,3392740.99,12.628373662273944
137.92718,-4.767,-2803.22,3392814.85,14.653537894533672
137.92651,-4.7721,-2730.86,3392886.91,16.03812206126692
137.92584,-4.7772,-2626.78,3392990.68,16.820213291080673
137.92516,-4.7823,-2538.08,3393079.08,16.76044800874758
137.92449,-4.7874,-2451.57,3393165.28,17.10746602000663
137.92317,-4.7975,-2257.2,3393359.06,17.518754397306783
137.9225,-4.8026,-2165.78,3393450.17,17.09505864270236
137.92184,-4.8077,-2061.41,3393554.23,16.583205937921566
137.92117,-4.8128,-1978.27,3393637.07,16.63698770751578
137.9205,-4.8179,-1894.91,3393720.12,16.91090564662421
