long_east_deg,lat_north_deg,altitude_m,radius_m,roughness_rms_m
354.33465,-1.6087,-1446.02,3394093.2,4.790001595346035
354.33399,-1.6036,-1447.2,3394092.1,2.0555069138041864
354.33333,-1.5985,-1449.85,3394089.53,1.5133456743934877
354.33266,-1.5934,-1452.05,3394087.41,1.4440703153211507
354.332,-1.5884,-1453.51,3394086.03,1.4988909218374067
354.33135,-1.5833,-1455.67,3394083.94,1.2958547291054439
354.33069,-1.5782,-1456.01,3394083.68,1.2612691967370153
354.33004,-1.5731,-1457.1,3394082.66,1.437637267068274
354.32938,-1.568,-1457.56,3394082.28,1.5315196061355352
354.32872,-1.5629,-1457.25,3394082.67,1.9079435469869532
354.32807,-1.5578,-1455.23,3394084.76,1.853278931887879
354.32741,-1.5527,-1453.83,3394086.24,1.9231016146505586
354.32675,-1.5476,-1451.54,3394088.6,1.8426842225649178
354.3261,-1.5425,-1450.37,3394089.85,1.6549965551380152
354.32544,-1.5374,-1449.58,3394090.71,1.4050677533654112
354.32479,-1.5324,-1448.51,3394091.86,1.2088671005592462
354.32413,-1.5273,-1448.71,3394091.73,0.9852734075722772
354.32347,-1.5222,-1448.5,3394092.02,1.1252072747913116
354.32282,-1.5171,-1448.5,3394092.1,1.0380722443440569
354.32216,-1.512,-1447.25,3394093.42,0.8903318780680698
354.32151,-1.5069,-1445.7,3394095.05,0.952003301531777
354.32085,-1.5018,-1445.44,3394095.38,1.1820712384815408
354.32019,-1.4967,-1446.27,3394094.63,1.2579429229146426
354.31954,-1.4916,-1446.59,3394094.38,1.0897665129123901
354.31889,-1.4865,-1447.43,3394093.61,0.8588503859495955
354.31823,-1.4814,-1447.72,3394093.39,0.7425735647868271
354.31757,-1.4763,-1449.0,3394092.18,0.7588308927226551
354.31692,-1.4712,-1449.47,3394091.78,0.9840731113893355
354.31626,-1.4662,-1450.42,3394090.9,1.0966795103688307
354.31561,-1.4611,-1450.38,3394091.01,0.913582907367011
354.31495,-1.456,-1450.08,3394091.38,0.7368537290620085
354.3143,-1.4509,-1449.2,3394092.33,0.6766416812421603
