long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg,roughness_rms_m,label
269.80524,0.5834,3095.11,3399897.63,0.16396753231449818,3.3526280684586514,1
269.80458,0.5783,3089.66,3399892.24,0.2557293502658422,2.619034685515391,1
269.80391,0.5732,3090.72,3399893.37,0.2572089950526208,2.194870205602659,1
269.80324,0.5681,3096.06,3399898.78,0.2519284250366345,1.960900085401411,1
269.80257,0.563,3092.91,3399895.7,0.24600662765260814,1.6861091555865126,1
269.8019,0.5579,3093.21,3399896.06,0.26359452342231976,1.706500332145886,1
269.80122,0.5528,3094.03,3399896.95,0.3430345418553689,3.2719656543697844,1
269.80055,0.5477,3092.08,3399895.07,0.49971233369178003,2.9628194479368837,1
269.79988,0.5426,3090.71,3399893.77,0.5743543874989542,2.6934118581961486,1
269.79921,0.5375,3082.27,3399885.39,0.4365580276823802,3.078599832152407,1
269.79854,0.5324,3083.17,3399886.36,0.22650807923905017,3.3456329348255656,1
269.79787,0.5273,3084.21,3399887.46,0.09267198172478915,2.1340979453876887,1
269.79719,0.5222,3086.23,3399889.55,0.26954912341851994,0.7535421497409991,1
269.79652,0.5171,3088.08,3399891.46,0.17809079957280985,2.0100191858442673,1
269.79585,0.512,3089.98,3399893.43,0.164780330742508,2.179556380626366,1
269.79518,0.5069,3091.0,3399894.52,0.23696722236916012,2.4653556710625724,1
269.79451,0.5018,3085.6,3399889.19,0.3972643871131845,3.0138050943663894,1
269.79384,0.4967,3088.41,3399892.06,0.4703699994850198,2.9076312841443026,1
269.79316,0.4916,3096.03,3399899.75,0.7129570456630513,3.972812667094958,1
269.79249,0.4865,3096.35,3399900.14,0.9212869263128711,3.30807762973969,1
269.79182,0.4814,3099.17,3399903.03,0.9702003460234797,3.162903594411721,1
269.79115,0.4763,3115.68,3399919.6,0.8878279139348271,3.627002239540161,1
269.79048,0.4712,3116.04,3399920.02,0.7399738153078986,4.069264723229896,1
269.78981,0.4661,3117.67,3399921.7,0.5181987621048589,3.7630663555776778,1
269.78913,0.461,3117.61,3399921.7,0.2981151505541129,1.5071446607110226,1
269.78846,0.4559,3119.5,3399923.65,0.4093360983015367,3.2399474989821933,1
269.78779,0.4508,3121.61,3399925.81,0.5734325227808701,4.074195138813431,1
269.78712,0.4457,3120.34,3399924.6,0.6349557279571698,4.634709602357473,1
269.78645,0.4406,3110.92,3399915.24,0.6615657108676806,5.189215645993423,1
269.78577,0.4355,3106.23,3399910.6,0.6364071867814246,5.390720325638032,1
269.7851,0.4304,3119.87,3399924.3,0.6498281940132182,4.810481518034132,1
269.78443,0.4253,3124.25,3399928.74,0.7187916224776898,4.137506967877635,1
269.78376,0.4202,3120.71,3399925.26,0.6354425156024726,4.266011725383357,1
269.78309,0.4151,3117.07,3399921.67,0.5506287955946616,3.5926940586695744,1
269.78242,0.41,3119.31,3399923.97,0.46951601313502056,2.6581393562827698,1
269.78174,0.4049,3122.07,3399926.79,0.6350558432352421,3.1980636114248115,1
269.78107,0.3998,3114.01,3399918.78,0.792075985257928,3.0860488030596107,1
269.7804,0.3947,3108.31,3399913.14,0.8789919754536875,2.496693076260433,1
269.77973,0.3896,3103.85,3399908.74,0.8878672373666198,2.3818151453721215,1
269.77906,0.3845,3096.27,3399901.21,0.725305613717091,2.2058379176354856,1
269.77838,0.3794,3091.94,3399896.94,0.5270858141365206,2.2132190291270653,1
269.77705,0.3692,3092.36,3399897.46,0.1967362488190252,2.346933321040925,1
269.77637,0.3641,3093.44,3399898.59,0.07374201465522841,1.8806534279750526,1
269.77569,0.359,3094.72,3399899.92,0.14225946666099865,0.8281575104073119,1
269.77502,0.354,3095.65,3399900.89,0.2202689854937531,0.5802105751717787,1
269.77434,0.3489,3097.36,3399902.65,0.319671302696685,1.0629873662485065,1
269.77366,0.3438,3098.09,3399903.43,0.4083346703870693,1.1849625722477224,1
269.77298,0.3387,3100.4,3399905.79,0.4422980957488079,1.0741083578938164,1
269.77231,0.3336,3104.51,3399909.94,0.4138200512126265,1.2619993174894617,1
269.77163,0.3285,3106.41,3399911.89,0.34326675246667765,1.4643582300132445,1
269.77095,0.3235,3106.78,3399912.3,0.24308328884406288,1.0365136759891318,1
269.77027,0.3184,3106.83,3399912.4,0.17860057298895468,0.7329830726916847,1
269.7696,0.3133,3108.64,3399914.25,0.17608231844620298,0.7202857787280191,1
269.76892,0.3082,3108.88,3399914.54,0.2026901833433328,0.7386889226993554,1
269.76824,0.3031,3108.75,3399914.46,0.19627433697211674,0.6970083827114968,1
269.76756,0.298,3110.01,3399915.77,0.19142386533416347,0.7631694499595296,1
269.76689,0.2929,3110.33,3399916.13,0.22633710296646592,0.7448448401082314,1
269.76621,0.2879,3111.21,3399917.06,0.2561737016864852,0.6594979846819152,1
269.76553,0.2828,3113.31,3399919.21,0.2670172173446467,0.7342927618976428,1
269.76485,0.2777,3114.2,3399920.15,0.27750499662220257,0.8410168532329941,1
269.76418,0.2726,3114.21,3399920.19,0.3110378772529474,0.9383735285131624,1
269.7635,0.2675,3113.59,3399919.61,0.336051724979417,1.0300131577074148,1
269.76282,0.2624,3116.85,3399922.91,0.3768738601277946,1.2802629150183336,1
269.76214,0.2574,3118.61,3399924.71,0.4290727408255245,1.2947439056443053,1
269.76147,0.2523,3121.33,3399927.46,0.4124430224512525,1.5563397464872772,1
269.76079,0.2472,3127.6,3399933.77,0.3422891101481141,1.8258903297997835,1
269.76011,0.2421,3129.01,3399935.22,0.28122005719029086,1.7073434504035256,1
269.75943,0.237,3128.05,3399934.3,0.26756630393674147,1.636342137490013,1
269.75876,0.2319,3126.81,3399933.09,0.2700993577252836,1.5148988122356832,1
269.75808,0.2269,3131.5,3399937.82,0.3108544381567979,1.382189902773337,1
269.7574,0.2218,3131.67,3399938.03,0.3327843366030322,1.5631092118373178,1
269.75672,0.2167,3133.48,3399939.88,0.30785945785806085,1.6888245771634889,1
269.75605,0.2116,3133.7,3399940.13,0.2600938116526613,1.4537947453553723,1
269.75537,0.2065,3130.5,3399936.97,0.23875679112210954,1.646821503611239,1
269.75469,0.2014,3133.45,3399939.96,0.26622823947393703,1.8160384689572904,1
269.75401,0.1964,3135.1,3399941.65,0.3311753338591193,1.6784007581769143,1
269.75334,0.1913,3137.69,3399944.27,0.41511292806318206,1.4957273567946543,1
