long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg,roughness_rms_m
326.36978,-4.9998,-656.53,3394500.25,0.3632017810673811,0.8632780789018926
326.36912,-4.9947,-652.21,3394504.91,0.2976548945934751,1.2196006748340489
326.36845,-4.9896,-652.15,3394505.31,0.2287566957366518,1.6318476606159211
326.36779,-4.9845,-651.54,3394506.26,0.2001482633412146,1.983933789695829
326.36713,-4.9794,-652.54,3394505.6,0.1757751775018509,2.3096946458917547
326.36646,-4.9744,-653.96,3394504.52,0.3771707932915046,2.668154580057385
326.3658,-4.9693,-655.49,3394503.34,0.6590056730035514,2.35559369721644
326.36513,-4.9642,-660.66,3394498.51,0.8439008660889231,1.6459593266521753
326.36447,-4.9591,-667.62,3394491.89,0.9207829682882462,1.3231451357609414
326.3638,-4.954,-673.23,3394486.62,0.8942701727969482,1.6533822231187727
326.36314,-4.9489,-676.18,3394484.01,0.7516394530739463,2.0469470086743504
326.36248,-4.9439,-678.77,3394481.76,0.5490923113805369,1.6388248449881324
326.36181,-4.9388,-680.91,3394479.97,0.3993906866420426,1.167379740361621
326.36115,-4.9337,-682.08,3394479.14,0.3153496088374915,0.9783259232530592
326.36048,-4.9286,-682.66,3394478.9,0.3621434967704001,1.4871437839928918
326.35982,-4.9235,-683.41,3394478.49,0.3690213184385658,1.742509261360646
326.35916,-4.9184,-682.19,3394480.05,0.3236526563568386,2.257632390241246
326.35849,-4.9133,-680.97,3394481.61,0.2946523481482356,2.955694456442948
326.35783,-4.9083,-681.41,3394481.51,0.2316351737255035,3.5429922662749997
326.35716,-4.9032,-681.36,3394481.9,0.1332273439173437,3.955018529279835
326.3565,-4.8981,-680.12,3394483.47,0.2651836087964102,4.46921346127658
326.35583,-4.893,-679.0,3394484.93,0.3678874884659704,4.989654124680016
326.35517,-4.8879,-677.84,3394486.42,0.5546447214397472,5.893176525691432
326.3545,-4.8828,-674.78,3394489.81,0.8647878354294514,6.200541657081182
326.35384,-4.8777,-680.32,3394484.61,1.0971051323686385,6.433722886696869
326.35318,-4.8726,-690.67,3394474.59,1.0433136134456746,6.846295340878157
