long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg,roughness_rms_m,label,mission
301.29858,-13.0022,-1520.94,3393257.74,29.839644805585092,75.12804344014238,-1,
301.2979,-13.0073,-1482.97,3393294.95,31.60254201310177,76.67288988843438,-1,
301.29721,-13.0124,-1511.77,3393265.39,32.573097017639675,79.08976790300878,-1,
301.29653,-13.0176,-1619.14,3393157.26,33.133334096131705,80.00583914918576,-1,
301.29584,-13.0227,-1787.83,3392987.81,33.206732202161,48.56559966254898,-1,
301.29516,-13.0278,-1982.67,3392792.21,32.61581809928451,24.95553374064333,-1,
301.29448,-13.0329,-2153.63,3392620.49,31.96718625585879,20.169799087638573,-1,
301.2938,-13.038,-2317.91,3392455.45,30.70813205237972,19.836204387755703,-1,
301.29312,-13.0431,-2481.8,3392290.8,29.45226331214116,16.64563458611173,-1,
301.29243,-13.0482,-2642.36,3392129.48,27.780910351540367,21.07697170554632,-1,
301.29175,-13.0533,-2793.44,3391977.64,25.35326692575653,35.26012916547902,-1,
301.29107,-13.0585,-2943.72,3391826.6,22.126653853568804,39.52395573734654,-1,
301.29038,-13.0636,-3052.95,3391716.61,18.665737763576587,31.77930416539757,-1,
301.2897,-13.0687,-3126.45,3391642.35,16.216388319599304,27.138245179258927,-1,
301.28902,-13.0738,-3218.68,3391549.36,13.819777128998645,21.62222805818781,-1,
301.28833,-13.0789,-3291.22,3391476.06,13.126775635182886,20.72790253734821,-1,
301.28765,-13.084,-3330.76,3391435.76,13.287734308138212,21.08635991271649,-1,
301.28696,-13.0891,-3350.58,3391415.18,13.140477831898824,20.012974826584077,-1,
301.28628,-13.0943,-3429.66,3391335.34,12.702829859216202,21.4616412639588,-1,
301.28491,-13.1045,-3609.28,3391154.22,11.231899577722029,31.147668026202957,-1,
301.28423,-13.1096,-3660.51,3391102.23,9.566098545070586,28.096184935341174,-1,
301.28354,-13.1147,-3751.04,3391010.95,7.908978596495298,17.443078566499505,-1,
301.28286,-13.1198,-3795.63,3390965.61,7.581833392465525,18.828806526109208,-1,
301.28217,-13.1249,-3821.19,3390939.3,7.185215381421064,15.764029343358336,-1,
301.28149,-13.1301,-3854.53,3390905.2,7.15238878179894,15.95207397000329,-1,
301.2808,-13.1352,-3870.73,3390888.25,9.328610414013522,36.409500468828014,-1,
301.28012,-13.1403,-3907.86,3390850.37,12.601585439677196,39.290797541826194,-1,
301.25681,-13.3142,-4994.04,3389738.75,2.186720602025317,3.050163969838718,-1,
301.25612,-13.3193,-5004.67,3389727.38,1.746691318834522,2.853627752071673,-1,
301.25475,-13.3296,-5021.66,3389708.91,0.7117014977961108,7.670191931445022,-1,
301.25406,-13.3347,-5028.45,3389701.38,0.3023339179381982,6.471426146791948,-1,
